Lat,Lon,Pop Density,Intersections,Pedways,Bikeways,POIs,Transit,WalkScore
32.0446,-81.2387,1430.04,0.64,43.61,0.95,0.32,0.0,0
35.0094,-86.5355,235.1,0.0,0.0,0.0,0.32,0.0,0
42.3689,-121.8134,30.37,0.0,0.0,0.0,0.0,0.0,0
37.698,-91.2101,10.14,0.0,0.0,0.0,0.0,0.0,0
34.1652,-77.9652,339.38,0.0,0.0,0.0,0.0,0.0,0
37.5631,-77.6078,495.39,0.0,0.32,0.0,0.0,0.0,0
34.1019,-116.1302,14.37,0.0,0.0,0.0,0.0,0.0,0
40.4877,-111.3296,295.23,0.0,0.0,0.0,0.0,0.0,0
30.797,-83.0189,4.03,0.0,0.0,0.0,0.0,0.0,0
33.8056,-85.8465,193.9,0.0,0.0,0.0,0.0,0.0,0
39.7652,-117.5847,0.67,0.0,0.0,0.0,0.0,0.0,0
31.2052,-83.8703,86.17,0.0,0.32,0.0,1.27,0.0,13
31.9405,-101.8471,48.6,0.0,0.0,0.0,0.0,0.0,0
35.0221,-116.9764,1.57,0.0,0.0,0.0,0.0,0.0,0
31.766,-94.044,13.96,0.0,0.0,0.0,0.0,0.0,0
