Lat,Lon,Pop Density,Intersections,Pedways,Bikeways,POIs,Transit,WalkScore
39.7624,-86.1302,2569.4,8.91,1665.4,62.39,229.18,11.46,59
39.8047,-86.1349,2994.52,10.19,1270.69,29.28,63.66,2.55,38
39.9001,-86.0636,1722.55,31.83,19.1,0,160.43,0,4
39.7456,-86.0662,1030.53,0,0,10.19,1.27,0,8
39.6912,-86.1084,2562.16,1.27,30.56,0,19.1,0,16
39.9104,-86.1467,1191.87,17.83,182.07,3.82,78.94,0,44
39.7531,-86.2283,3947.57,7.64,8.91,0,115.86,0,16
39.8069,-85.9973,5797.64,1.27,339.95,0,61.12,0,7
39.8953,-86.2549,1340.21,5.09,1.27,0,124.78,0,24
39.7146,-85.991,908.29,0,10.19,7.64,0,0,7
39.7198,-86.0831,4608.81,2.55,662.08,1.27,22.92,0,75
39.8815,-85.971,2199.89,0,11.46,0,10.19,0,3
39.6869,-86.0531,2728.09,5.09,112.05,1.27,8.91,0,9
39.8492,-85.9638,3479.12,5.09,101.86,0,1.27,0,4
39.6685,-85.9899,484.45,1.27,14.01,0,2.55,0,0
39.7585,-86.0097,1398.64,3.82,1.27,3.82,2.55,0,7
39.7238,-86.2424,3056.84,7.64,49.66,1.27,105.68,5.09,7
39.6779,-86.2701,424.49,0,21.65,1.27,1.27,0,15
39.6903,-86.0256,2413.22,0,26.74,8.91,16.55,0,29
39.8529,-86.1906,1066.1,11.46,12.73,7.64,31.83,5.09,10
39.7651,-85.9659,1324.56,3.82,12.73,0,6.37,0,5
39.7492,-86.2045,2752.43,0,374.33,58.57,113.32,0,10
39.6524,-86.2696,455.6,0,0,0,2.55,0,1
39.8624,-86.3186,153.12,0,53.48,0,1.27,0,0
39.7688,-86.2332,1400.39,6.37,42.02,0,53.48,1.27,25
39.89,-85.965,2199.89,5.09,25.46,0,7.64,0,8
39.6753,-86.2636,2888.12,0,2.55,0,1.27,0,9
39.8081,-86.0966,1343.78,6.37,196.08,0,61.12,7.64,23
39.866,-86.3248,153.12,0,48.38,1.27,1.27,0,3
39.7541,-85.9555,572.98,0,64.94,0,2.55,0,3
39.7547,-86.1021,2304.03,0,341.23,31.83,54.75,6.37,44
39.6716,-86.1101,2562.16,2.55,29.28,0,2.55,0,9
39.6354,-86.2013,2939.23,1.27,45.84,12.73,25.46,0,24
39.6716,-86.2875,455.6,0,1.27,2.55,1.27,0,7
39.7577,-86.0282,1398.64,8.91,0,0,31.83,0,26
39.8223,-86.2737,7820.18,26.74,134.96,2.55,108.23,12.73,54
39.8395,-86.3134,1518.45,0,1.27,0,3.82,0,2
39.6776,-85.9991,484.45,0,11.46,0,1.27,0,1
39.8807,-86.0409,1995.67,16.55,64.94,95.49,109.5,0,14
39.8392,-85.9789,2666.01,0,94.22,2.55,0,0,0
39.8873,-86.2705,893.29,29.28,35.65,56.02,161.7,0,7
39.8689,-86.1084,2530.39,10.19,89.13,50.93,36.92,3.82,35
39.6461,-86.0005,484.45,0,0,0,0,0,0
39.7421,-86.1964,976.53,24.19,490.2,3.82,92.95,0,34
39.7142,-86.176,1587.86,10.19,0,0,22.92,0,6
39.7535,-86.2497,3947.57,3.82,6.37,0,154.06,0,70
39.8704,-86.0153,692.67,0,30.56,16.55,21.65,0,1
39.8901,-86.064,1722.55,16.55,40.74,33.1,95.49,0,15
39.6428,-86.1467,3823.48,0,162.97,1.27,6.37,0,14
39.86,-86.2626,6327.63,26.74,24.19,52.2,36.92,0,14
39.7516,-85.9618,572.98,0,30.56,0,5.09,0,2
39.9253,-86.0508,1862.46,22.92,17.83,7.64,53.48,0,47
39.862,-86.2167,2045.58,6.37,8.91,1.27,11.46,0,8
39.6827,-86.2557,2888.12,0,1.27,0,2.55,0,7
39.8871,-86.1965,5129.9,12.73,24.19,14.01,7.64,0,25
39.6898,-86.1231,1920.78,0,0,0,10.19,0,13
39.6804,-86.036,2413.22,1.27,47.11,2.55,5.09,0,5
39.6923,-86.0073,484.45,0,25.46,0,1.27,0,4
39.7125,-86.0898,4608.81,7.64,222.82,11.46,31.83,0,29
39.8542,-86.0699,2999.01,3.82,2.55,1.27,12.73,0,6
39.691,-86.1795,1695.99,21.65,0,0,44.56,0,15
39.6895,-86.1051,2562.16,1.27,63.66,0,21.65,0,5
39.8401,-86.1262,1833.94,106.95,389.61,49.66,179.53,17.83,70
39.8078,-86.1056,3231.79,6.37,676.09,0,49.66,5.09,35
39.8908,-86.1032,2963.81,1.27,5.09,2.55,1.27,0,8
39.6736,-86.3019,2261.04,3.82,7.64,6.37,7.64,3.82,8
39.7817,-86.135,3762.33,28.01,1441.31,44.56,213.9,12.73,69
39.886,-85.9986,692.67,6.37,2.55,1.27,0,0,1
39.7602,-86.0624,1030.53,2.55,273.75,8.91,62.39,0,36
39.905,-86.2273,1569.59,34.38,119.68,5.09,50.93,12.73,26
39.8061,-86.0414,1700.87,15.28,0,0,141.33,0,10
39.9187,-86.1466,1966.8,28.01,210.08,11.46,131.14,0,42
39.8077,-85.9872,3319.23,0,174.43,7.64,30.56,0,13
39.8978,-86.1776,2609.97,10.19,6.37,0,1.27,0,7
39.8243,-86.3271,1518.45,5.09,99.31,0,11.46,0,18
39.6988,-86.2456,1825.9,2.55,2.55,0,106.95,0,13
39.8587,-86.0787,1995.67,16.55,24.19,12.73,58.57,0,20
39.9136,-85.9828,1486.51,1.27,45.84,0,5.09,0,3
