Lat,Lon,Pop Density,Intersections,Pedways,Bikeways,POIs,Transit,WalkScore
29.619,-98.3812,735.58,0,0,0,0,0,0
29.2288,-98.5533,139.69,0,0,0,0,0,0
29.2176,-98.4191,239.82,5.09,0,0,16.55,0,20
29.5311,-98.4838,2291.32,21.65,22.92,0,52.2,0,25
29.3409,-98.4293,505.15,0,5.09,1.27,30.56,0,12
29.5508,-98.4468,2738.11,6.37,31.83,42.02,12.73,0,8
29.5555,-98.7911,2.68,0,0,0,0,0,0
29.5744,-98.7752,2.68,0,0,0,0,0,0
29.3464,-98.5417,4329.38,6.37,20.37,2.55,34.38,12.73,40
29.2906,-98.4203,157.92,0,0,0,0,0,2
29.3493,-98.5051,5977.93,5.09,0,1.27,45.84,7.64,69
29.4977,-98.4834,3753.6,20.37,174.43,0,45.84,0,23
29.5104,-98.5856,2289.57,42.02,5.09,0,85.31,2.55,48
29.4246,-98.6833,3607.05,61.12,42.02,10.19,21.65,21.65,18
29.2146,-98.4176,239.82,5.09,0,0,17.83,0,13
29.3097,-98.5727,230.32,0,0,0,1.27,0,0
29.4932,-98.3804,5924.69,14.01,26.74,1.27,8.91,5.09,5
29.6504,-98.434,2267.24,3.82,10.19,3.82,28.01,0,5
29.5107,-98.6917,5253.85,10.19,25.46,16.55,30.56,1.27,12
29.2882,-98.6144,230.32,0,0,0,0,0,1
29.5904,-98.589,4735.17,11.46,10.19,3.82,36.92,1.27,31
29.5757,-98.5741,2332.87,3.82,1.27,2.55,15.28,0,55
29.5192,-98.6553,6301.24,11.46,17.83,10.19,17.83,0,30
29.5222,-98.4054,1535.0,12.73,44.56,0,14.01,0,46
29.3911,-98.5231,8509.54,6.37,45.84,6.37,42.02,0,67
29.6186,-98.4853,2444.79,19.1,8.91,5.09,39.47,17.83,11
29.5777,-98.6625,920.43,0,0,1.27,3.82,0,7
29.4255,-98.5293,7434.54,22.92,38.2,34.38,30.56,1.27,79
29.4563,-98.4491,1209.98,0,310.67,0,63.66,0,50
29.3045,-98.596,230.32,0,0,0,1.27,0,9
29.568,-98.534,2562.9,7.64,8.91,20.37,49.66,0,34
29.3662,-98.4076,2199.45,3.82,3.82,6.37,11.46,0,16
29.4401,-98.5694,4384.53,2.55,14.01,1.27,19.1,1.27,40
