Lat,Lon,Pop Density,Intersections,Pedways,Bikeways,POIs,Transit,WalkScore
40.7222,-73.8484,38731.03,500.38,3307.88,7.64,724.47,185.89,98
40.8411,-73.9137,144638.89,320.86,958.75,39.47,248.28,129.87,93
40.8446,-73.921,86215.38,236.82,735.93,70.03,134.96,94.22,85
40.6943,-73.8852,11.01,87.85,2355.49,39.47,47.11,58.57,59
40.777,-73.8144,19491.45,285.21,2225.62,10.19,87.85,35.65,80
40.51,-74.2145,3503.01,22.92,341.23,33.1,103.13,12.73,13
40.664,-73.9841,53827.59,178.25,2776.94,71.3,1159.92,112.05,98
40.6112,-74.1663,11426.89,169.34,640.44,19.1,3474.67,19.1,75
40.7021,-73.9567,83106.67,230.46,2955.19,15.28,741.03,118.41,90
40.7686,-73.7427,12891.74,92.95,325.95,0.0,99.31,34.38,75
40.8007,-73.9312,59794.52,145.15,1446.4,49.66,346.32,110.77,89
40.5833,-73.9705,36753.42,204.99,2090.66,44.56,802.14,179.53,83
40.8568,-73.8801,21.96,126.05,1608.1,16.55,334.86,75.12,76
40.7343,-73.9005,36103.45,299.21,2529.93,15.28,252.1,92.95,77
40.6074,-74.0861,26359.71,236.82,914.19,1.27,921.83,29.28,73
40.5711,-73.8639,8563.27,73.85,868.35,3.82,11.46,71.3,19
40.5768,-74.1963,27.39,3.82,0.0,0.0,8.91,0.0,5
40.5633,-74.2017,27.39,19.1,159.15,0.0,402.34,16.55,19
40.7385,-73.7488,16106.23,138.78,459.64,31.83,244.46,75.12,66
40.5479,-74.1808,16367.23,250.83,914.19,0.0,387.06,0.0,46
40.6722,-73.9576,86043.48,165.52,2333.85,91.67,805.96,138.78,96
40.8152,-73.826,30583.69,56.02,198.63,3.82,22.92,34.38,25
40.6139,-73.9111,16395.18,178.25,2029.54,1.27,99.31,104.41,90
40.6971,-73.9152,55707.69,259.74,3063.41,5.09,730.84,206.26,92
40.6403,-74.111,13921.82,141.33,1208.3,10.19,2295.65,43.29,37
40.7704,-73.9492,135148.15,151.52,1564.81,57.3,870.9,122.23,95
40.5757,-73.9455,5546.43,77.67,678.64,0.0,281.39,57.3,51
40.7661,-73.8089,8678.9,295.39,2598.68,0.0,168.07,115.86,97
40.5861,-73.9732,46974.14,189.71,1876.76,43.29,566.59,143.88,85
40.6817,-73.9467,61415.38,202.45,2318.57,3.82,704.1,240.64,98
40.6541,-73.7309,22907.89,257.19,155.34,0.0,64.94,40.74,56
40.6393,-73.8831,15154.55,103.13,1075.89,17.83,52.2,47.11,44
40.5755,-73.9581,58670.45,133.69,1285.97,5.09,522.03,126.05,89
