Lat,Lon,Pop Density,Intersections,Pedways,Bikeways,POIs,Transit,WalkScore
41.9604,-87.7699,15261.72,39.47,671.0,3.82,126.05,80.21,75
41.6809,-87.6509,6849.5,15.28,1795.27,24.19,119.68,109.5,52
41.6538,-87.5906,3101.08,2.55,437.99,0.0,31.83,15.28,7
41.8147,-87.7108,9311.02,14.01,1235.04,3.82,76.39,91.67,69
41.663,-87.5703,433.81,3.82,39.47,14.01,12.73,0.0,1
41.6892,-87.6035,6616.79,8.91,859.44,2.55,103.13,66.21,44
41.7816,-87.7134,16396.15,11.46,651.9,7.64,72.57,57.3,76
41.6693,-87.6408,6742.3,16.55,1147.19,25.46,70.03,71.3,53
41.9948,-87.696,35385.54,25.46,1904.77,2.55,160.43,114.59,71
41.8289,-87.7386,2505.41,3.82,151.52,0.0,75.12,22.92,13
41.8267,-87.6857,11579.44,53.48,1746.88,8.91,112.05,174.43,81
41.7444,-87.6783,9900.78,5.09,849.25,5.09,101.86,80.21,18
41.7652,-87.6496,8353.17,19.1,2489.18,17.83,109.5,124.78,55
41.8037,-87.6801,6476.53,38.2,1814.37,6.37,110.77,146.42,59
41.8749,-87.6275,10493.55,224.09,3389.36,95.49,1804.18,347.59,99
41.8359,-87.7111,2505.41,22.92,1296.16,2.55,47.11,80.21,60
41.6766,-87.5864,433.81,0.0,0.0,0.0,0.0,0.0,0
41.7496,-87.5747,11389.45,12.73,2253.63,6.37,77.67,86.58,66
41.761,-87.5666,14937.01,15.28,2317.3,11.46,140.06,170.61,72
41.762,-87.5718,14937.01,15.28,2503.19,11.46,141.33,164.25,75
41.7623,-87.6809,11770.83,11.46,1511.34,5.09,63.66,104.41,60
41.7313,-87.6371,9848.61,20.37,682.46,6.37,62.39,86.58,40
41.8029,-87.6318,1522.6,34.38,1061.88,0.0,86.58,168.07,36
41.9677,-87.6552,12300.3,105.68,1881.85,108.23,480.01,131.14,93
41.9583,-87.8339,8417.51,10.19,325.95,5.09,39.47,40.74,51
41.8675,-87.7028,17052.63,73.85,2230.72,39.47,165.52,206.26,75
41.6844,-87.7013,4037.41,16.55,374.33,0.0,63.66,58.57,72
41.8524,-87.6149,6960.11,62.39,1196.85,29.28,239.37,89.13,27
41.9201,-87.7033,24750.0,59.84,2374.59,72.57,361.6,119.68,88
41.971,-87.6572,47246.03,91.67,2057.56,78.94,431.63,151.52,79
41.9344,-87.6316,14076.92,36.92,716.83,22.92,132.42,38.2,57
41.8845,-87.7286,10031.5,50.93,1778.72,25.46,91.67,67.48,54
41.6604,-87.5292,2251.8,0.0,173.16,3.82,12.73,0.0,9
41.7747,-87.7696,17203.92,10.19,1920.05,5.09,31.83,52.2,60
41.7107,-87.5584,6365.11,7.64,1327.99,1.27,47.11,145.15,29
41.6695,-87.6103,1719.8,1.27,250.83,0.0,17.83,5.09,4
41.7305,-87.6122,9066.2,7.64,2173.42,8.91,67.48,104.41,46
41.6998,-87.6644,7390.12,14.01,867.08,24.19,53.48,75.12,45
41.6757,-87.6125,1719.8,1.27,780.5,0.0,20.37,50.93,30
41.8565,-87.6803,18738.59,80.21,1489.69,30.56,212.63,156.61,86
41.8219,-87.5969,11656.96,12.73,975.3,28.01,54.75,39.47,41
41.9421,-87.8518,938.91,16.55,17.83,6.37,15.28,6.37,18
41.9285,-87.8062,12537.39,20.37,523.3,0.0,94.22,72.57,83
41.8672,-87.6743,3876.4,122.23,2186.15,129.87,257.19,222.82,67
41.8449,-87.675,1978.64,38.2,812.33,15.28,100.59,76.39,71
